Year,Pacea_ALPI_Anomaly,Pacea_NPI_Value,Pacea_NPI_Anomaly,npi_mean_NovMar,oni_mean_DecFeb,mei_mean_AprSep,npgo_mean_DecFeb,ao_mean_DecMar,pdo_mean_DecMar,pdo_mean_MaySep
1998,4.58,1005.48,-3.42,1005.4780000000001,28.873333333333335,0.10166666666666666,0.8962181933333333,-0.64725,1.2125,-1.068
1999,0.13,1009.45,0.55,1009.446,25.213333333333335,-1.1866666666666665,1.38527183,0.11324999999999999,-1.0275,-2.122
2000,0.26,1008.45,-0.45,1008.446,25.11,-0.675,1.5269583,0.7345,-1.5150000000000001,-1.218
2001,1.5,1007.08,-1.82,1007.0840000000001,25.983333333333334,-0.23833333333333334,2.660991533333333,-1.4055,0.015000000000000001,-1.642
2002,-0.37,1009.2,0.3,1009.196,26.52,0.3616666666666667,2.0203324,0.56625,-1.08,-0.658
2003,2.8,1005.06,-3.84,1005.066,27.560000000000002,-0.09666666666666666,1.86609866,-0.25075000000000003,1.315,0.124
2004,2.83,1008.56,-0.34,1008.564,27,0.12333333333333332,0.38554044000000004,-0.65775,-0.3775,0.16
2005,0.9,1008.15,-0.75,1008.15,27.293333333333333,0.08666666666666667,-1.5064687166666668,-0.25825,-0.025000000000000012,0.18200000000000002
2006,0.37,1010.11,1.21,1010.108,25.903333333333332,0.0016666666666666728,-1.04372476,-1.0085,0.02000000000000001,-0.432
2007,0.55,1009.83,0.93,1009.826,27.316666666666666,-0.7116666666666667,-0.17774910633333332,1.04775,-0.73,-0.162
2008,-1.1,1009.3,0.4,1009.304,25.123333333333335,-0.9516666666666667,0.8532889033333333,0.7909999999999999,-1.2725,-1.83
2009,-3.96,1013.47,4.57,1013.466,25.916666666666664,-0.006666666666666657,0.66514552,0.22425,-1.74,-0.584
2010,4.08,1006.49,-2.41,1006.49,28.136666666666667,-1.3316666666666666,1.6738658666666666,-2.6745,-0.0925,-1.524
2011,-0.62,1011.13,2.23,1011.132,25.306666666666665,-1.0966666666666667,0.3997249266666667,-0.32875,-1.645,-1.782
2012,0.27,1010.33,1.43,1010.324,25.833333333333332,-0.15833333333333333,0.471165961,0.7505000000000001,-1.815,-2.348
2013,-0.12,1010.31,1.41,1010.312,26.353333333333335,-0.6233333333333333,1.1171110666666666,-1.63775,-1.3275000000000001,-1.098
2014,-0.57,1009.81,0.91,1009.804,26.326666666666668,0.03833333333333333,-0.7239368633333333,0.439,-0.4325,0.468
2015,0.34,1007.86,-1.04,1007.862,27.27,1.5233333333333334,-0.7725732833333334,1.09625,1.5550000000000002,0.8999999999999999
2016,4.13,1006.59,-2.31,1006.588,29.130000000000003,0.30666666666666664,0.02587152333333335,0.06274999999999997,0.9725,0.322
2017,-2.51,1010.26,1.36,1010.256,26.356666666666666,-0.39,-0.81415251,1.10825,0.1575,-0.1
2018,-2.2,1012.98,4.08,1012.978,25.793333333333333,-0.2916666666666667,-2.1559666666666666,-0.292,-0.11499999999999999,-0.342
2019,1.25,1009.4,0.5,1009.398,27.47,0.27666666666666667,-1.5390468766666667,0.6655000000000001,-0.4175,0.166
2020,-2.05,1011.76,2.86,1011.762,27.220000000000002,-0.6849999999999999,-2.1876051333333333,2.22225,-1.16,-0.914
2021,0.67,1010.64,1.74,1010.636,25.653333333333332,-1.1966666666666668,-1.0642314366666668,-0.8255,-1.09,-1.754
2022,-0.47,1010.52,1.62,1010.524,25.746666666666666,-1.7983333333333333,-1.8655508666666665,0.72375,-2.1725,-2.174
2023,-0.01812041126933428,1011.92,3.02,1011.92,26.063333333333333,0.2816666666666667,-1.9729653666666667,-0.37825,-1.8875,-2.586
2024,-0.08378926478600644,1009.17,0.27,1009.1759999999999,28.44666666666667,-0.31166666666666665,-1.7591023666666665,-0.10149999999999999,-1.52,-3.12
2025,NA,1007.77,-1.13,1007.768,26.08,-0.38,-2.3638733666666667,-0.178,-1.4575,NA
